SEXO;IDADE;DIA_MES;DIA_SEMANA;HORA_RETIRADA;TEMPO_TOTAL;ENDERECO_RETIRADA;LATITUDE;LONGITUDE
1;23;28;5;15;50;SQN 205;-15.7722474;-47.8804341
1;30;28;5;17;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;30;1;6;13;49;SHS, QD. 06;-15.7926277;-47.8957922
1;19;1;6;14;49;SRTVS;-15.7974902;-47.8963643
0;20;1;6;14;49;SRTVS;-15.7974902;-47.8963643
1;31;1;6;17;49;SHS, QD. 06;-15.7926277;-47.8957922
1;41;1;6;18;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;29;1;6;19;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;64;1;6;19;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;49;1;6;21;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;43;1;6;21;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;26;2;7;11;49;SQS 305;-15.8085221;-47.899365
1;26;2;7;12;49;CLN 406;-15.766622;-47.8801483
0;26;2;7;17;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;28;2;7;17;49;SHS, QD. 06;-15.7926277;-47.8957922
1;41;2;7;17;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;36;2;7;19;49;SHS, QD. 06;-15.7926277;-47.8957922
0;28;3;1;9;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;51;3;1;9;49;SRTVS;-15.7974902;-47.8963643
0;26;3;1;10;49;CLN 204;-15.7766872;-47.8793288
0;29;3;1;10;49;EMI BL K;-15.7968694;-47.8754027
1;38;3;1;10;49;SBS, QD. 3/4;-15.8026711;-47.8838398
0;32;3;1;10;49;SBS, QD. 3/4;-15.8026711;-47.8838398
1;29;3;1;12;49;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
0;40;3;1;12;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
